id_mutation,date_mutation,valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,latitude,longitude,prix_m2
DVF0000024,2022-12-21,782000,75001,Paris,Appartement,67,2,48.854706,2.341644,11672.0
DVF0000025,2022-11-16,385000,75001,Paris,Appartement,30,1,48.856571,2.342552,12833.0
DVF0000026,2022-08-26,1125000,75001,Paris,Maison,78,2,48.858885,2.342021,14423.0
DVF0000027,2022-12-02,715000,75001,Paris,Appartement,51,1,48.86208,2.354478,14020.0
DVF0000028,2022-02-08,1133000,75001,Paris,Appartement,72,2,48.856299,2.348208,15736.0
DVF0000029,2022-02-15,581000,75001,Paris,Appartement,45,1,48.863696,2.352684,12911.0
DVF0000030,2022-02-25,1910000,75001,Paris,Appartement,120,4,48.864184,2.343028,15917.0
DVF0000031,2022-03-13,1398000,75001,Paris,Appartement,86,3,48.854026,2.346166,16256.0
DVF0000032,2022-12-26,1314000,75001,Paris,Maison,85,3,48.860669,2.350758,15459.0
DVF0000033,2022-12-18,585000,75001,Paris,Appartement,49,1,48.854731,2.34509,11939.0
DVF0000034,2022-03-02,1200000,75001,Paris,Appartement,75,2,48.865529,2.341822,16000.0
DVF0000035,2022-07-04,625000,75001,Paris,Appartement,39,1,48.865299,2.348675,16026.0
DVF0000036,2022-10-19,841000,75001,Paris,Appartement,61,2,48.860273,2.353786,13787.0
DVF0000037,2022-03-22,806000,75001,Paris,Appartement,62,2,48.861746,2.347101,13000.0
DVF0000038,2022-10-04,365000,75001,Paris,Maison,22,1,48.854879,2.343684,16591.0
DVF0000039,2022-06-10,1468000,75001,Paris,Appartement,91,3,48.855893,2.352372,16132.0
DVF0000040,2022-09-01,1876000,75001,Paris,Appartement,119,4,48.862014,2.348464,15765.0
DVF0000041,2022-02-04,1422000,75001,Paris,Maison,103,3,48.862909,2.342876,13806.0
DVF0000042,2022-11-28,837000,75001,Paris,Appartement,66,2,48.857168,2.347539,12682.0
DVF0000043,2022-05-02,324000,75001,Paris,Maison,21,1,48.854043,2.351496,15429.0
DVF0000044,2022-12-14,667000,75001,Paris,Appartement,48,1,48.860731,2.342266,13896.0
DVF0000045,2022-06-19,1648000,75001,Paris,Maison,102,3,48.86063,2.346717,16157.0
DVF0000046,2022-01-12,1429000,75001,Paris,Appartement,91,3,48.856521,2.344193,15703.0
DVF0000047,2022-10-24,1353000,75001,Paris,Appartement,84,3,48.855855,2.353718,16107.0
DVF0000048,2022-01-06,1695000,75001,Paris,Appartement,105,3,48.862839,2.345351,16143.0
DVF0000049,2022-04-09,1466000,75001,Paris,Maison,85,3,48.85591,2.350518,17247.0
DVF0000050,2022-08-12,1035000,75001,Paris,Appartement,81,2,48.857662,2.351835,12778.0
DVF0000051,2022-05-28,820000,75001,Paris,Appartement,60,2,48.854833,2.351527,13667.0
DVF0000052,2022-09-11,932000,75001,Paris,Appartement,56,2,48.865271,2.342315,16643.0
DVF0000053,2022-01-04,1213000,75001,Paris,Maison,65,2,48.861159,2.34554,18662.0
DVF0000054,2022-07-19,1040000,75001,Paris,Appartement,73,2,48.856281,2.341321,14247.0
DVF0000055,2022-12-24,1670000,75001,Paris,Appartement,116,4,48.862844,2.343458,14397.0
DVF0000056,2022-11-28,1794000,75001,Paris,Appartement,121,4,48.855496,2.353301,14826.0
DVF0000057,2022-05-18,835000,75001,Paris,Appartement,61,2,48.855527,2.346586,13689.0
DVF0000058,2022-10-10,1417000,75001,Paris,Maison,101,3,48.858873,2.352372,14030.0
DVF0000059,2022-11-11,672000,75001,Paris,Appartement,46,1,48.85958,2.34689,14609.0
DVF0000060,2022-12-06,1572000,75001,Paris,Appartement,95,3,48.861906,2.344673,16547.0
DVF0000061,2022-04-22,933000,75001,Paris,Appartement,59,2,48.857725,2.351992,15814.0
DVF0000062,2022-02-15,576000,75001,Paris,Appartement,41,1,48.858973,2.349517,14049.0
DVF0000063,2022-03-21,848000,75001,Paris,Appartement,62,2,48.862251,2.353197,13677.0
DVF0000064,2022-12-17,1059000,75001,Paris,Appartement,83,2,48.859575,2.348504,12759.0
DVF0000065,2022-11-17,1110000,75001,Paris,Maison,63,2,48.865855,2.349036,17619.0
DVF0000066,2022-09-14,1269000,75001,Paris,Maison,74,2,48.863967,2.34837,17149.0
DVF0000067,2022-04-27,1608000,75001,Paris,Maison,103,3,48.861652,2.351421,15612.0
DVF0000068,2022-12-10,833000,75001,Paris,Appartement,60,2,48.856814,2.345402,13883.0
DVF0000069,2022-12-05,316000,75001,Paris,Maison,22,1,48.862477,2.341599,14364.0
DVF0000070,2022-07-13,921000,75001,Paris,Appartement,77,2,48.864858,2.348877,11961.0
DVF0000071,2022-06-10,1182000,75001,Paris,Appartement,84,3,48.863042,2.352648,14071.0
DVF0000072,2022-10-08,1259000,75001,Paris,Maison,73,2,48.859859,2.344521,17247.0
DVF0000073,2022-07-24,786000,75001,Paris,Appartement,52,1,48.855981,2.347243,15115.0
DVF0000074,2022-10-19,1286000,75001,Paris,Appartement,79,2,48.861956,2.341875,16278.0
DVF0000075,2022-06-07,700000,75001,Paris,Appartement,54,1,48.859456,2.345425,12963.0
DVF0000076,2022-05-27,1398000,75001,Paris,Appartement,88,3,48.854983,2.340971,15886.0
DVF0000077,2022-11-02,611000,75001,Paris,Appartement,51,1,48.863051,2.353995,11980.0
DVF0000078,2022-08-22,771000,75001,Paris,Appartement,60,2,48.855373,2.353969,12850.0
DVF0000079,2022-10-24,1100000,75001,Paris,Appartement,88,3,48.86262,2.351589,12500.0
DVF0000080,2022-05-19,341000,75001,Paris,Appartement,29,1,48.862128,2.354114,11759.0
DVF0000081,2022-11-08,909000,75001,Paris,Appartement,62,2,48.855223,2.351515,14661.0
DVF0000082,2022-10-26,1555000,75001,Paris,Appartement,99,3,48.854493,2.348158,15707.0
DVF0000083,2022-07-27,830000,75001,Paris,Appartement,62,2,48.859882,2.346769,13387.0
DVF0000084,2022-12-17,1026000,75001,Paris,Appartement,74,2,48.865586,2.344481,13865.0
DVF0000085,2022-12-19,1359000,75001,Paris,Appartement,97,3,48.857221,2.352624,14010.0
DVF0000086,2022-08-19,585000,75001,Paris,Appartement,42,1,48.861324,2.346006,13929.0
DVF0000087,2022-05-11,636000,75001,Paris,Appartement,50,1,48.857356,2.349046,12720.0
DVF0000088,2022-02-08,683000,75001,Paris,Maison,37,1,48.862641,2.34754,18459.0
DVF0000089,2022-08-26,1253000,75001,Paris,Appartement,82,2,48.854207,2.344819,15280.0
DVF0000090,2022-08-18,686000,75001,Paris,Appartement,47,1,48.860371,2.346657,14596.0
DVF0000091,2022-05-09,698000,75001,Paris,Appartement,50,1,48.856766,2.350798,13960.0
DVF0000092,2022-03-07,1289000,75001,Paris,Appartement,83,2,48.856597,2.347479,15530.0
DVF0000093,2022-02-27,1099000,75001,Paris,Appartement,84,3,48.856329,2.343885,13083.0
DVF0000094,2022-01-02,737000,75001,Paris,Appartement,60,2,48.86064,2.350464,12283.0
DVF0000095,2022-10-10,1352000,75001,Paris,Appartement,84,3,48.859633,2.346867,16095.0
DVF0000096,2022-02-27,658000,75001,Paris,Appartement,41,1,48.854784,2.347584,16049.0
DVF0000097,2022-10-10,508000,75001,Paris,Appartement,41,1,48.855022,2.344175,12390.0
DVF0000098,2022-04-25,1145000,75001,Paris,Appartement,73,2,48.860271,2.347007,15685.0
DVF0000099,2022-10-02,1558000,75001,Paris,Appartement,118,4,48.861316,2.351061,13203.0
DVF0000100,2022-02-06,960000,75001,Paris,Maison,66,2,48.856878,2.348428,14545.0
DVF0000101,2022-05-02,1071000,75001,Paris,Appartement,73,2,48.856778,2.350597,14671.0
DVF0000102,2022-05-26,436000,75001,Paris,Appartement,34,1,48.863495,2.348957,12824.0
DVF0000103,2022-11-05,663000,75001,Paris,Appartement,46,1,48.864901,2.352273,14413.0
DVF0000104,2022-10-10,1248000,75001,Paris,Appartement,85,3,48.85927,2.347262,14682.0
DVF0000105,2022-08-15,1590000,75001,Paris,Appartement,112,4,48.854965,2.341258,14196.0
DVF0000106,2022-04-22,824000,75001,Paris,Appartement,70,2,48.864032,2.348753,11771.0
DVF0000107,2022-01-25,1225000,75001,Paris,Maison,84,3,48.863075,2.347287,14583.0
DVF0000108,2022-11-27,702000,75001,Paris,Appartement,48,1,48.859901,2.341977,14625.0
DVF0000109,2022-03-11,608000,75001,Paris,Appartement,50,1,48.85894,2.347637,12160.0
DVF0000110,2022-08-03,1329000,75001,Paris,Appartement,92,3,48.857774,2.345226,14446.0
DVF0000111,2022-01-22,1634000,75001,Paris,Maison,92,3,48.864432,2.347168,17761.0
DVF0000112,2022-11-15,868000,75001,Paris,Appartement,56,2,48.86312,2.34355,15500.0
DVF0000113,2022-02-01,745000,75001,Paris,Appartement,49,1,48.865678,2.349224,15204.0
DVF0000114,2022-07-03,527000,75001,Paris,Appartement,45,1,48.856696,2.35248,11711.0
DVF0000115,2022-12-10,783000,75001,Paris,Appartement,63,2,48.860106,2.344528,12429.0
DVF0000116,2022-07-07,795000,75001,Paris,Appartement,55,1,48.865062,2.347815,14455.0
DVF0000117,2022-07-11,658000,75001,Paris,Appartement,42,1,48.865211,2.347808,15667.0
DVF0000118,2022-10-22,1098000,75001,Paris,Appartement,69,2,48.859876,2.34278,15913.0
DVF0000119,2022-07-15,792000,75001,Paris,Appartement,51,1,48.865194,2.352874,15529.0
DVF0000120,2022-07-02,963000,75001,Paris,Maison,67,2,48.857818,2.347322,14373.0
DVF0000121,2022-11-05,875000,75001,Paris,Maison,52,1,48.859944,2.341218,16827.0
DVF0000122,2022-08-04,705000,75001,Paris,Appartement,58,2,48.860311,2.347097,12155.0
DVF0000123,2022-02-16,1544000,75001,Paris,Appartement,93,3,48.863378,2.34441,16602.0
DVF0000124,2022-11-28,1151000,75001,Paris,Appartement,72,2,48.860403,2.354058,15986.0
DVF0000125,2022-10-03,1210000,75001,Paris,Appartement,84,3,48.856817,2.350282,14405.0
DVF0000126,2022-02-25,1206000,75001,Paris,Appartement,87,3,48.861605,2.352916,13862.0
DVF0000127,2022-06-26,731000,75001,Paris,Appartement,62,2,48.854673,2.345718,11790.0
DVF0000128,2022-03-06,973000,75001,Paris,Appartement,67,2,48.856101,2.349233,14522.0
DVF0000129,2022-03-08,994000,75001,Paris,Appartement,61,2,48.859534,2.344256,16295.0
DVF0000130,2022-05-22,1121000,75001,Paris,Appartement,80,2,48.860559,2.341734,14012.0
DVF0000131,2022-12-09,1075000,75001,Paris,Maison,58,2,48.859482,2.34493,18534.0
DVF0000132,2022-06-19,532000,75001,Paris,Maison,35,1,48.85755,2.35049,15200.0
DVF0000133,2022-11-25,712000,75001,Paris,Appartement,61,2,48.862936,2.341387,11672.0
DVF0000134,2022-04-20,1544000,75001,Paris,Appartement,95,3,48.863623,2.343766,16253.0
DVF0000135,2022-11-22,1042000,75001,Paris,Appartement,68,2,48.86406,2.349495,15324.0
DVF0000136,2022-01-19,702000,75001,Paris,Maison,40,1,48.858378,2.34254,17550.0
DVF0000137,2022-03-26,1264000,75001,Paris,Maison,90,3,48.860473,2.354301,14044.0
DVF0000138,2022-08-26,1140000,75001,Paris,Appartement,88,3,48.857542,2.352886,12955.0
DVF0000139,2022-04-28,1409000,75001,Paris,Appartement,114,4,48.862116,2.350142,12360.0
DVF0000140,2022-07-01,1028000,75001,Paris,Appartement,85,3,48.857174,2.34243,12094.0
DVF0000141,2022-11-12,1214000,75001,Paris,Appartement,83,2,48.8553,2.343974,14627.0
DVF0000142,2022-11-03,841000,75001,Paris,Appartement,57,2,48.861625,2.3472,14754.0
DVF0000143,2022-01-10,741000,75001,Paris,Appartement,60,2,48.865951,2.342326,12350.0
DVF0000144,2022-11-24,516000,75001,Paris,Appartement,37,1,48.862358,2.348263,13946.0
DVF0000145,2022-02-27,867000,75001,Paris,Appartement,63,2,48.859872,2.346414,13762.0
DVF0000146,2022-08-08,871000,75001,Paris,Maison,61,2,48.864265,2.342091,14279.0
DVF0000147,2022-01-13,1449000,75001,Paris,Appartement,97,3,48.857311,2.354255,14938.0
DVF0000148,2022-11-20,484000,75001,Paris,Maison,34,1,48.865653,2.341408,14235.0
DVF0000149,2022-09-07,1066000,75001,Paris,Appartement,84,3,48.861037,2.352083,12690.0
DVF0000150,2022-01-09,714000,75001,Paris,Appartement,44,1,48.864301,2.342726,16227.0
DVF0000151,2022-01-05,1074000,75001,Paris,Appartement,88,3,48.854178,2.35176,12205.0
DVF0000152,2022-03-24,390000,75001,Paris,Appartement,30,1,48.859052,2.342291,13000.0
DVF0000153,2022-02-15,1341000,75001,Paris,Appartement,94,3,48.860046,2.353936,14266.0
DVF0000154,2022-05-15,1576000,75001,Paris,Appartement,105,3,48.86172,2.341136,15010.0
DVF0000155,2022-12-15,710000,75001,Paris,Maison,52,1,48.854882,2.341831,13654.0
DVF0000156,2022-10-18,326000,75001,Paris,Appartement,22,1,48.862546,2.346033,14818.0
DVF0000157,2022-02-26,1016000,75001,Paris,Appartement,69,2,48.862421,2.352639,14725.0
DVF0000158,2022-07-15,1349000,75001,Paris,Appartement,84,3,48.864657,2.346493,16060.0
DVF0000159,2022-07-11,630000,75001,Paris,Appartement,52,1,48.861981,2.34594,12115.0
DVF0000160,2022-02-14,556000,75001,Paris,Appartement,35,1,48.855159,2.351043,15886.0
DVF0000161,2022-09-11,611000,75001,Paris,Appartement,37,1,48.86204,2.346451,16514.0
DVF0000162,2022-01-10,1044000,75001,Paris,Appartement,64,2,48.861205,2.345623,16312.0
DVF0000163,2022-02-12,649000,75001,Paris,Appartement,46,1,48.864144,2.345846,14109.0
DVF0000164,2022-09-25,802000,75001,Paris,Appartement,58,2,48.863821,2.34929,13828.0
DVF0000165,2022-12-09,900000,75001,Paris,Appartement,60,2,48.854347,2.344526,15000.0
DVF0000166,2022-03-19,628000,75001,Paris,Appartement,50,1,48.861888,2.341674,12560.0
DVF0000167,2022-07-14,287000,75001,Paris,Appartement,20,1,48.859444,2.342904,14350.0
DVF0000168,2022-02-02,1309000,75001,Paris,Appartement,90,3,48.855867,2.351262,14544.0
DVF0000169,2022-08-20,631000,75001,Paris,Appartement,42,1,48.859305,2.344524,15024.0
DVF0000170,2022-11-22,525000,75001,Paris,Appartement,43,1,48.861118,2.348077,12209.0
DVF0000171,2022-01-07,691000,75001,Paris,Appartement,47,1,48.857617,2.343657,14702.0
DVF0000172,2022-08-24,588000,75001,Paris,Appartement,48,1,48.859168,2.342509,12250.0
DVF0000173,2022-06-03,1065000,75001,Paris,Appartement,67,2,48.858765,2.351089,15896.0
DVF0000174,2022-10-14,1829000,75001,Paris,Appartement,114,4,48.860881,2.350633,16044.0
DVF0000175,2022-03-26,713000,75001,Paris,Appartement,43,1,48.865371,2.347141,16581.0
DVF0000176,2022-04-14,494000,75001,Paris,Appartement,31,1,48.861066,2.348035,15935.0
DVF0000177,2022-03-03,1137000,75001,Paris,Appartement,89,3,48.860126,2.342296,12775.0
DVF0000178,2022-11-27,983000,75001,Paris,Appartement,64,2,48.855772,2.342139,15359.0
DVF0000179,2022-11-03,1009000,75001,Paris,Appartement,65,2,48.856126,2.35152,15523.0
DVF0000180,2022-11-19,1226000,75001,Paris,Appartement,84,3,48.861716,2.354511,14595.0
DVF0000181,2022-08-15,833000,75001,Paris,Appartement,60,2,48.861577,2.351849,13883.0
DVF0000182,2022-08-02,939000,75001,Paris,Appartement,71,2,48.854683,2.352344,13225.0
DVF0000183,2022-08-19,882000,75001,Paris,Appartement,62,2,48.860652,2.351785,14226.0
DVF0000184,2022-04-11,1533000,75001,Paris,Maison,94,3,48.86126,2.347719,16309.0
DVF0000185,2022-06-23,618000,75001,Paris,Maison,34,1,48.855012,2.349746,18176.0
DVF0000186,2022-09-20,861000,75001,Paris,Appartement,62,2,48.855905,2.34592,13887.0
DVF0000187,2022-01-26,1405000,75001,Paris,Appartement,93,3,48.861571,2.345385,15108.0
DVF0000188,2022-12-28,1008000,75001,Paris,Appartement,77,2,48.861879,2.353389,13091.0
DVF0000189,2022-06-10,451000,75001,Paris,Appartement,30,1,48.865612,2.350479,15033.0
DVF0000190,2022-09-13,954000,75001,Paris,Appartement,79,2,48.861722,2.345299,12076.0
DVF0000191,2023-02-21,2046000,75001,Paris,Appartement,123,4,48.862045,2.347819,16634.0
DVF0000192,2023-08-07,636000,75001,Paris,Appartement,49,1,48.856719,2.342626,12980.0
DVF0000193,2023-12-17,715000,75001,Paris,Appartement,45,1,48.854453,2.345415,15889.0
DVF0000194,2023-03-27,811000,75001,Paris,Appartement,64,2,48.862314,2.349446,12672.0
DVF0000195,2023-11-24,989000,75001,Paris,Maison,63,2,48.85685,2.346919,15698.0
DVF0000196,2023-04-10,1348000,75001,Paris,Appartement,103,3,48.865587,2.351681,13087.0
DVF0000197,2023-08-15,866000,75001,Paris,Maison,46,1,48.863233,2.351594,18826.0
DVF0000198,2023-10-05,1823000,75001,Paris,Appartement,113,4,48.864476,2.341431,16133.0
DVF0000199,2023-09-28,881000,75001,Paris,Appartement,71,2,48.855496,2.341874,12408.0
DVF0000200,2023-07-03,1188000,75001,Paris,Appartement,94,3,48.865357,2.343809,12638.0
DVF0000201,2023-07-17,1558000,75001,Paris,Appartement,111,3,48.858488,2.346106,14036.0
DVF0000202,2023-12-21,451000,75001,Paris,Appartement,27,1,48.858023,2.342745,16704.0
DVF0000203,2023-12-16,945000,75001,Paris,Appartement,75,2,48.859383,2.340774,12600.0
DVF0000204,2023-12-20,607000,75001,Paris,Appartement,48,1,48.860333,2.342257,12646.0
DVF0000205,2023-11-26,380000,75001,Paris,Appartement,29,1,48.861474,2.341579,13103.0
DVF0000206,2023-09-19,897000,75001,Paris,Appartement,75,2,48.856903,2.34271,11960.0
DVF0000207,2023-03-22,876000,75001,Paris,Appartement,59,2,48.862019,2.348029,14847.0
DVF0000208,2023-09-18,1214000,75001,Paris,Appartement,76,2,48.854244,2.352927,15974.0
DVF0000209,2023-01-12,1478000,75001,Paris,Appartement,112,4,48.863462,2.345527,13196.0
DVF0000210,2023-06-05,596000,75001,Paris,Appartement,40,1,48.854532,2.348344,14900.0
DVF0000211,2023-12-16,1312000,75001,Paris,Appartement,85,3,48.861581,2.352061,15435.0
DVF0000212,2023-04-02,1496000,75001,Paris,Appartement,124,4,48.863493,2.353101,12065.0
DVF0000213,2023-09-16,1175000,75001,Paris,Appartement,69,2,48.85704,2.351246,17029.0
DVF0000214,2023-11-11,1103000,75001,Paris,Appartement,91,3,48.857279,2.351891,12121.0
DVF0000215,2023-07-11,1521000,75001,Paris,Appartement,92,3,48.865685,2.347647,16533.0
DVF0000216,2023-12-14,1364000,75001,Paris,Appartement,85,3,48.854947,2.349134,16047.0
DVF0000217,2023-06-22,707000,75001,Paris,Appartement,57,2,48.857548,2.346943,12404.0
DVF0000218,2023-01-24,891000,75001,Paris,Appartement,65,2,48.86444,2.345636,13708.0
DVF0000219,2023-01-03,1218000,75001,Paris,Maison,68,2,48.862054,2.346387,17912.0
DVF0000220,2023-03-28,1398000,75001,Paris,Appartement,83,2,48.861291,2.351638,16843.0
DVF0000221,2023-06-13,640000,75001,Paris,Appartement,42,1,48.865394,2.341153,15238.0
DVF0000222,2023-02-19,1575000,75001,Paris,Appartement,114,4,48.855652,2.345837,13816.0
DVF0000223,2023-12-06,598000,75001,Paris,Appartement,48,1,48.859989,2.346118,12458.0
DVF0000224,2023-04-20,1368000,75001,Paris,Appartement,88,3,48.857427,2.353531,15545.0
DVF0000225,2023-03-23,282000,75001,Paris,Appartement,23,1,48.859341,2.341929,12261.0
DVF0000226,2023-09-18,1090000,75001,Paris,Appartement,70,2,48.857484,2.344899,15571.0
DVF0000227,2023-06-17,1854000,75001,Paris,Appartement,122,4,48.856691,2.354492,15197.0
DVF0000228,2023-09-19,1045000,75001,Paris,Appartement,87,3,48.858427,2.351951,12011.0
DVF0000229,2023-07-23,1209000,75001,Paris,Appartement,99,3,48.862626,2.34806,12212.0
DVF0000230,2023-11-03,643000,75001,Paris,Appartement,38,1,48.8594,2.350222,16921.0
DVF0000231,2023-03-14,1255000,75001,Paris,Appartement,84,3,48.860034,2.352855,14940.0
DVF0000232,2023-06-23,713000,75001,Paris,Appartement,56,2,48.856706,2.353965,12732.0
DVF0000233,2023-11-18,1173000,75001,Paris,Appartement,89,3,48.857293,2.34945,13180.0
DVF0000234,2023-10-05,790000,75001,Paris,Appartement,62,2,48.856054,2.349443,12742.0
DVF0000235,2023-01-03,1493000,75001,Paris,Maison,90,3,48.854546,2.34968,16589.0
DVF0000236,2023-10-21,891000,75001,Paris,Appartement,60,2,48.854363,2.353146,14850.0
DVF0000237,2023-11-13,1727000,75001,Paris,Appartement,120,4,48.857569,2.341722,14392.0
DVF0000238,2023-06-20,772000,75001,Paris,Appartement,54,1,48.855724,2.352761,14296.0
DVF0000239,2023-06-17,1394000,75001,Paris,Appartement,111,3,48.86074,2.345168,12559.0
DVF0000240,2023-01-10,605000,75001,Paris,Appartement,48,1,48.865345,2.352798,12604.0
DVF0000241,2023-12-11,1423000,75001,Paris,Appartement,85,3,48.856278,2.342931,16741.0
DVF0000242,2023-01-03,1117000,75001,Paris,Maison,74,2,48.865343,2.347776,15095.0
DVF0000243,2023-05-16,896000,75001,Paris,Maison,66,2,48.86117,2.3525,13576.0
DVF0000244,2023-07-05,1124000,75001,Paris,Appartement,69,2,48.864589,2.350885,16290.0
DVF0000245,2023-09-07,376000,75001,Paris,Appartement,31,1,48.85835,2.34474,12129.0
DVF0000246,2023-10-22,1253000,75001,Paris,Appartement,94,3,48.861333,2.342501,13330.0
DVF0000247,2023-06-25,1241000,75001,Paris,Appartement,91,3,48.855731,2.349134,13637.0
DVF0000248,2023-06-26,264000,75001,Paris,Appartement,21,1,48.859685,2.347098,12571.0
DVF0000249,2023-06-06,602000,75001,Paris,Appartement,36,1,48.858715,2.349331,16722.0
DVF0000250,2023-09-16,939000,75001,Paris,Appartement,58,2,48.862505,2.344897,16190.0
DVF0000251,2023-07-19,634000,75001,Paris,Appartement,51,1,48.857692,2.353283,12431.0
DVF0000252,2023-11-26,574000,75001,Paris,Appartement,40,1,48.865665,2.348799,14350.0
DVF0000253,2023-11-24,778000,75001,Paris,Appartement,61,2,48.861437,2.352476,12754.0
DVF0000254,2023-12-04,906000,75001,Paris,Appartement,61,2,48.856289,2.346875,14852.0
DVF0000255,2023-10-16,1023000,75001,Paris,Appartement,73,2,48.864474,2.351002,14014.0
DVF0000256,2023-11-16,947000,75001,Paris,Appartement,64,2,48.860306,2.345093,14797.0
DVF0000257,2023-12-22,782000,75001,Paris,Appartement,57,2,48.86172,2.350406,13719.0
DVF0000258,2023-05-08,1413000,75001,Paris,Appartement,106,3,48.865298,2.354452,13330.0
DVF0000259,2023-06-16,964000,75001,Paris,Appartement,62,2,48.858186,2.353772,15548.0
DVF0000260,2023-09-13,713000,75001,Paris,Appartement,48,1,48.864749,2.346223,14854.0
DVF0000261,2023-05-23,1392000,75001,Paris,Appartement,104,3,48.854948,2.353636,13385.0
DVF0000262,2023-09-09,1073000,75001,Paris,Appartement,83,2,48.865196,2.350446,12928.0
DVF0000263,2023-01-22,1299000,75001,Paris,Appartement,99,3,48.864862,2.343859,13121.0
DVF0000264,2023-02-22,671000,75001,Paris,Appartement,43,1,48.863249,2.340773,15605.0
DVF0000265,2023-08-16,753000,75001,Paris,Appartement,45,1,48.861806,2.351283,16733.0
DVF0000266,2023-02-21,1146000,75001,Paris,Appartement,69,2,48.86089,2.348192,16609.0
DVF0000267,2023-03-02,1291000,75001,Paris,Appartement,101,3,48.865966,2.346258,12782.0
DVF0000268,2023-01-01,2054000,75001,Paris,Appartement,123,4,48.857581,2.349139,16699.0
DVF0000269,2023-09-17,953000,75001,Paris,Maison,50,1,48.859927,2.35384,19060.0
DVF0000270,2023-06-06,869000,75001,Paris,Appartement,54,1,48.862773,2.349776,16093.0
DVF0000271,2023-10-22,1280000,75001,Paris,Appartement,80,2,48.863087,2.343157,16000.0
DVF0000272,2023-02-13,1339000,75001,Paris,Appartement,92,3,48.862031,2.343287,14554.0
DVF0000273,2023-07-08,1310000,75001,Paris,Appartement,110,3,48.859361,2.344438,11909.0
DVF0000274,2023-11-12,931000,75001,Paris,Appartement,78,2,48.862313,2.34157,11936.0
DVF0000275,2023-12-25,757000,75001,Paris,Appartement,49,1,48.857732,2.342344,15449.0
DVF0000276,2023-03-16,715000,75001,Paris,Maison,49,1,48.855838,2.351168,14592.0
DVF0000277,2023-09-26,1214000,75001,Paris,Appartement,73,2,48.861969,2.343758,16630.0
DVF0000278,2023-09-15,1342000,75001,Paris,Appartement,84,3,48.860338,2.345765,15976.0
DVF0000279,2023-09-07,379000,75001,Paris,Maison,23,1,48.860872,2.342798,16478.0
DVF0000280,2023-12-19,863000,75001,Paris,Appartement,56,2,48.859866,2.353284,15411.0
DVF0000281,2023-08-19,887000,75001,Paris,Appartement,61,2,48.854693,2.347173,14541.0
DVF0000282,2023-01-24,567000,75001,Paris,Appartement,43,1,48.856615,2.341722,13186.0
DVF0000283,2023-02-16,716000,75001,Paris,Appartement,42,1,48.854381,2.346424,17048.0
DVF0000284,2023-07-12,1317000,75001,Paris,Appartement,84,3,48.865914,2.346055,15679.0
DVF0000285,2023-11-28,802000,75001,Paris,Appartement,52,1,48.860472,2.349849,15423.0
DVF0000286,2023-03-24,1462000,75001,Paris,Appartement,105,3,48.865745,2.352388,13924.0
